,edad,ingreso,horas_trabajo,educacion,ciudad,satisfaccion
0,,44941.71666418764,29.757670974117953,,Bogotá,1
1,46.0,40400.12032480916,29.587173394064003,secundaria,Bogotá,1
2,,39449.67767757898,40.40674055308924,universitario,Barranquilla,3
3,60.0,31650.031748046626,36.090879316895354,secundaria,Medellín,4
4,25.0,55406.753987717326,,universitario,Bogotá,2
5,,350000.0,44.103530006331965,secundaria,Barranquilla,4
6,56.0,50017.42226346704,30.252082869707316,posgrado,Cali,5
7,36.0,22361.663450572338,30.71739979784555,posgrado,Medellín,2
8,40.0,,39.666991725704605,,Cali,3
9,28.0,46763.6958054866,32.799074735408695,secundaria,Barranquilla,3
10,28.0,51475.31041900399,40.980043986716154,universitario,Bogotá,2
11,41.0,27020.45235153683,55.787687132820466,universitario,Bogotá,1
12,53.0,44862.678630363254,120.0,universitario,Barranquilla,2
13,57.0,49960.24905148374,31.52336683026681,universitario,Bogotá,5
14,41.0,43309.21734639179,41.45205582101848,universitario,Medellín,1
15,20.0,55465.942312241445,33.7981456506585,universitario,Barranquilla,3
16,39.0,60604.14177595848,40.19001185598198,universitario,Cali,2
17,19.0,28877.714831190806,42.52508781344991,universitario,Barranquilla,4
18,,55201.446985486284,39.71842449230013,secundaria,Medellín,4
19,61.0,49732.07941757796,40.452471596713345,secundaria,Medellín,5
20,47.0,-5000.0,41.536723045061194,secundaria,Barranquilla,4
21,55.0,26150.256197668616,52.77690178016648,,Barranquilla,2
22,19.0,,37.97664556714404,secundaria,Bogotá,2
23,38.0,49761.291375253546,41.01947525334472,secundaria,Medellín,4
24,50.0,23600.987254013715,46.934792506737146,universitario,Barranquilla,2
25,29.0,42082.38647511581,43.76829465134417,posgrado,Barranquilla,5
26,,48926.680636390396,37.13432639607377,,Medellín,1
27,61.0,51078.903620070385,47.2149074961431,posgrado,Barranquilla,5
28,42.0,,33.03002495108056,universitario,Bogotá,5
29,44.0,49099.089671384594,38.18600458161419,universitario,Medellín,2
30,59.0,70426.6345467599,33.83130767596448,secundaria,Bogotá,1
31,45.0,63558.4410656581,44.60939679576881,,Bogotá,2
32,33.0,33605.7714578537,49.516798250277986,posgrado,Bogotá,3
33,32.0,37837.23202124697,41.78668926957084,universitario,Bogotá,2
34,64.0,43665.552002276774,40.6021275674335,posgrado,Medellín,2
35,61.0,24011.16678994064,32.999930660335394,universitario,Bogotá,2
36,20.0,28903.15802464603,,universitario,Bogotá,1
37,54.0,25539.6645486782,30.453919074892596,,Barranquilla,2
38,24.0,31227.3603261,22.58654888582254,posgrado,Medellín,1
39,38.0,61675.2339377591,36.87172799015607,universitario,Medellín,4
40,26.0,34737.11377344227,37.61515784517628,universitario,Cali,3
41,56.0,32675.258892772836,57.382738362986444,secundaria,Medellín,1
42,35.0,55594.051926112676,52.50250852966489,universitario,Medellín,4
43,21.0,39608.34736685062,44.44512191706828,secundaria,Cali,1
44,42.0,50023.67363007122,56.675817844332514,universitario,Medellín,1
45,31.0,36261.84900764,51.1272279694822,,Medellín,3
46,26.0,23377.344371921277,23.93945582909781,universitario,Medellín,5
47,43.0,50612.6049299774,48.539649377878014,universitario,Medellín,5
48,19.0,26382.792670912175,45.691634121558614,universitario,Cali,1
49,37.0,38874.08136506885,37.68497642293847,secundaria,Medellín,2
50,45.0,36204.586379475324,28.67837984385988,universitario,Medellín,4
51,64.0,,44.763209085683386,secundaria,Cali,2
52,24.0,38328.66122670459,23.36697821620403,secundaria,Barranquilla,2
53,61.0,43467.18205843337,39.82820030100272,universitario,Bogotá,1
54,25.0,26273.315130752773,35.063276733704996,posgrado,Barranquilla,1
55,64.0,69004.17706927324,29.92926366758244,universitario,Cali,1
56,52.0,30598.41914723804,49.510408061217646,secundaria,Bogotá,1
57,31.0,59416.56533061229,39.66953255535382,universitario,Cali,5
58,34.0,46798.004596075174,41.39173063335656,universitario,Cali,1
59,53.0,46690.888416855865,47.26297557793942,universitario,Medellín,5
60,57.0,49253.03502143595,39.929675549573155,universitario,Bogotá,5
61,21.0,22436.248938569322,43.61128958917998,universitario,Medellín,1
62,19.0,56596.704023669,46.52681296391272,universitario,Bogotá,3
63,23.0,38868.66639255645,44.534047415350614,universitario,Cali,4
64,59.0,59524.78359763967,42.28784132950627,posgrado,Cali,2
65,21.0,43185.16841409325,54.26490268300046,universitario,Barranquilla,5
66,46.0,40505.74129091436,49.93576478407885,universitario,Bogotá,4
67,35.0,29505.406642365808,39.31389464613733,universitario,Medellín,3
68,43.0,35813.88761031194,32.722456398812376,universitario,Barranquilla,2
69,61.0,50067.765139968775,45.10898919870115,posgrado,Barranquilla,2
70,51.0,29305.0284039675,41.72688518551204,universitario,Barranquilla,5
71,27.0,21112.805405071635,53.67196530551067,universitario,Medellín,1
72,53.0,34709.41337206679,47.89994404560578,universitario,Barranquilla,3
73,31.0,55080.064519469146,46.113635104015266,universitario,Medellín,5
74,48.0,66375.49292431641,40.10361230363276,universitario,Barranquilla,3
75,32.0,36871.01198742292,32.99441006666206,posgrado,Medellín,1
76,25.0,26414.055842110894,38.41629625038948,universitario,Cali,1
77,31.0,40882.45123075082,43.814624754592884,universitario,Cali,5
78,40.0,47206.2661729147,,,Cali,1
79,57.0,51934.765621186016,49.93371167721875,secundaria,Cali,4
80,38.0,70615.6949760889,56.53635201401104,secundaria,Cali,2
81,33.0,47722.18586376944,24.440485677034005,universitario,Barranquilla,5
82,62.0,64865.53950454705,28.798275591891716,posgrado,Barranquilla,3
83,35.0,39444.894935236225,41.83729971386512,secundaria,Barranquilla,4
84,64.0,46038.789774270655,35.33935267492053,secundaria,Medellín,5
85,41.0,37885.40721047574,42.087251470653385,secundaria,Medellín,1
86,43.0,36839.94799058469,39.426607707540505,secundaria,Medellín,1
87,42.0,41839.12986159272,31.809451844087565,secundaria,Medellín,1
88,62.0,41632.14149591015,50.30725072142792,universitario,Cali,1
89,,37752.28896602702,,universitario,Cali,3
90,46.0,38408.96511162838,35.52206420217382,secundaria,Cali,4
91,32.0,,52.04020091728657,universitario,Bogotá,2
92,62.0,70357.34588349843,35.93275236084998,secundaria,Barranquilla,3
93,18.0,39019.12052752265,30.065275866355734,universitario,Medellín,3
94,42.0,,41.46809458470189,universitario,Medellín,2
95,24.0,,42.82526098578133,universitario,Cali,2
96,26.0,83244.40005687563,44.25533513775077,secundaria,Medellín,1
97,41.0,46009.96225209505,45.5708090132199,universitario,Medellín,3
98,18.0,56671.59440278549,44.12899782862153,secundaria,Barranquilla,5
99,61.0,63533.69806449351,43.80394913159339,posgrado,Cali,2
100,25.0,49128.817576824265,35.40996959753468,universitario,Barranquilla,2
101,41.0,56114.79051462041,34.55404580343557,universitario,Bogotá,4
102,28.0,52294.06248401765,45.93891933007295,secundaria,Bogotá,5
103,34.0,57390.15351393458,41.9476520855991,posgrado,Bogotá,5
104,25.0,32587.171722171784,46.56196591589004,secundaria,Cali,2
105,52.0,47451.39530401595,26.341782754979214,secundaria,Medellín,1
106,52.0,50774.61274113752,35.993708940659246,universitario,Cali,4
107,50.0,50604.686072746656,55.25615121528445,secundaria,Cali,5
108,22.0,58644.20902360149,44.42026521877952,,Medellín,2
109,59.0,50362.68173728881,42.364403607833225,posgrado,Barranquilla,5
110,56.0,31260.61775914318,45.663394935757395,secundaria,Bogotá,4
111,58.0,52095.79340313578,57.667604206929454,universitario,Barranquilla,4
112,45.0,34403.0560982456,55.98439633829622,,Bogotá,3
113,24.0,,27.36383394149925,posgrado,Cali,2
114,26.0,39977.89342547481,30.315990727445055,universitario,Bogotá,4
115,25.0,43662.97468102091,27.09271475559366,posgrado,Cali,3
116,29.0,26475.295167697248,34.0231368884779,,Barranquilla,3
117,51.0,58402.72128242014,40.43935438921805,universitario,Cali,5
118,50.0,31133.809078926188,41.93612115254237,secundaria,Barranquilla,5
119,40.0,63841.327464466245,27.75617005450198,universitario,Medellín,3
120,41.0,31500.579146005715,25.061185389047125,posgrado,Medellín,5
121,54.0,60383.04456377042,33.881668904356395,secundaria,Medellín,4
122,52.0,44658.9425088112,47.32937012483697,posgrado,Cali,1
123,61.0,24402.90664867234,48.722903293549166,secundaria,Medellín,4
124,,32484.463276765786,53.64659887470148,secundaria,Bogotá,3
125,39.0,60917.660019828574,39.741357992599085,universitario,Barranquilla,3
126,44.0,50383.78408862406,46.625227923120846,secundaria,Barranquilla,4
127,52.0,44055.21979598632,48.07915968839728,,Bogotá,5
128,18.0,18398.86734620509,36.02512773861903,posgrado,Cali,5
129,52.0,61674.796063379574,,posgrado,Cali,3
130,54.0,67445.0867737862,45.26964100567803,universitario,Barranquilla,2
131,64.0,65256.20438842698,,secundaria,Medellín,5
132,31.0,37617.057410766116,53.13676936885955,universitario,Cali,4
133,20.0,49593.59360580944,39.68950173823979,universitario,Cali,5
134,18.0,50905.69240723994,40.69628182517338,universitario,Bogotá,4
135,22.0,26670.568489987065,32.421268960463,secundaria,Bogotá,3
136,43.0,47165.91006599457,33.76459043297973,universitario,Medellín,5
137,31.0,57852.498289410105,22.427883193343927,universitario,Cali,4
138,56.0,54173.738823908534,40.4412470113489,,Cali,3
139,44.0,31666.034247070827,60.04551367713578,posgrado,Bogotá,2
140,26.0,34648.61854121342,31.851044415164104,universitario,Cali,4
141,,54487.12787308975,63.809575425239785,universitario,Barranquilla,2
142,32.0,52594.229248592535,51.31401010089931,universitario,Bogotá,2
143,43.0,17950.095845788615,36.211289752183134,secundaria,Medellín,1
144,59.0,15520.882250719267,40.21811763855103,posgrado,Bogotá,5
145,30.0,44081.615263781445,38.9191975366805,posgrado,Cali,4
146,,37924.16571975401,53.64931178718169,universitario,Medellín,2
147,,41420.38532203551,44.136125840943684,universitario,Bogotá,1
148,49.0,40064.51291208223,49.455792388974515,secundaria,Barranquilla,3
149,,56808.282534757076,42.86537476289079,universitario,Barranquilla,4
150,47.0,,39.104219835243065,secundaria,Bogotá,2
151,54.0,48211.6321699575,42.611386920565714,posgrado,Barranquilla,5
152,,28892.246081880076,36.74444612902335,secundaria,Barranquilla,1
153,56.0,4630.853682440269,28.38236765223282,universitario,Barranquilla,2
154,62.0,58482.5013802982,46.5095086076532,posgrado,Medellín,5
155,32.0,70718.46225736664,27.990684413255305,universitario,Barranquilla,2
156,60.0,40888.933581232246,37.84932658563859,secundaria,Barranquilla,4
157,46.0,47991.77449946346,36.48108569907666,secundaria,Barranquilla,4
158,53.0,48894.21979649466,45.146831448432565,secundaria,Medellín,4
159,30.0,65103.51899601864,,universitario,Bogotá,1
160,49.0,55667.81153132584,49.63976517840599,secundaria,Cali,4
161,24.0,50952.7707987105,45.379400151160745,universitario,Barranquilla,5
162,39.0,45666.865883327606,34.96102683503374,,Bogotá,2
163,45.0,45722.79505786911,38.53224677122829,secundaria,Barranquilla,3
164,19.0,27726.460840395233,37.365810343553456,posgrado,Medellín,5
165,59.0,40398.14968566286,36.23774842616445,,Bogotá,5
166,62.0,55634.42359355251,36.7803911309853,secundaria,Medellín,4
167,,42195.56184823194,36.566895719459275,posgrado,Barranquilla,1
168,45.0,,36.212590458396036,universitario,Barranquilla,2
169,,30886.470264131145,47.615064144228434,posgrado,Medellín,1
170,61.0,50346.08281537661,,universitario,Cali,2
171,61.0,27458.920127571335,34.16420718156935,universitario,Medellín,2
172,37.0,48478.59373844551,27.332746231683906,universitario,Barranquilla,1
173,47.0,42753.30052381423,51.32386242008679,posgrado,Medellín,5
174,28.0,24080.577033458896,33.6279763307393,universitario,Cali,2
175,45.0,57833.735424490435,45.28620185377712,universitario,Medellín,1
176,42.0,43033.61683844438,43.80255088169845,posgrado,Cali,2
177,56.0,67329.33664942998,50.55070896872617,secundaria,Cali,3
178,,62739.02537786956,38.31986641299925,secundaria,Medellín,5
179,18.0,34446.38591703892,32.419681701712705,secundaria,Medellín,4
180,44.0,35499.36025613305,27.554000193026972,universitario,Bogotá,2
181,,30936.277746594656,17.722914841743197,secundaria,Barranquilla,3
182,58.0,25962.43657888399,41.29082580703122,posgrado,Cali,4
183,20.0,39933.873900588034,46.20378057991132,secundaria,Bogotá,4
184,56.0,62324.966516229135,43.77350484158273,universitario,Medellín,2
185,23.0,22021.111564685732,27.761885574617537,secundaria,Barranquilla,1
186,25.0,55223.333610776215,48.31060916089543,posgrado,Bogotá,2
187,44.0,54220.07345166005,,,Cali,3
188,26.0,51656.31353068355,32.74477204686597,universitario,Bogotá,4
189,54.0,53798.08037693222,34.23494211757453,posgrado,Cali,2
190,50.0,31749.338537434403,40.62727138004862,secundaria,Medellín,1
191,59.0,54138.86209557116,28.122387427863423,posgrado,Barranquilla,2
192,61.0,38408.901821507156,39.70371269024706,secundaria,Barranquilla,5
193,41.0,15489.679655057418,43.43558596306936,posgrado,Barranquilla,1
194,32.0,45688.95537307645,48.85859116994892,secundaria,Medellín,3
195,49.0,,41.40765325776995,universitario,Cali,4
196,49.0,61305.799599992744,29.28297201444967,posgrado,Medellín,2
197,,41563.84180600897,41.19112182121779,secundaria,Barranquilla,1
198,58.0,,31.51793380843104,secundaria,Medellín,5
199,29.0,49670.15491373448,31.056438749064398,secundaria,Medellín,1
200,56.0,41791.192345399446,29.098371171680167,universitario,Medellín,5
201,19.0,43753.906590840015,24.709970560847808,universitario,Cali,3
202,20.0,55122.88827336413,35.46269465651684,secundaria,Bogotá,4
203,54.0,32204.142261120374,49.03110994437526,universitario,Bogotá,3
204,34.0,36578.2386896688,58.05187212342034,secundaria,Medellín,2
205,19.0,33394.6673447884,35.411318733279245,posgrado,Bogotá,1
206,19.0,62241.05607059464,48.68884421415724,secundaria,Bogotá,5
207,45.0,36579.60027590604,36.84334145410724,secundaria,Medellín,5
208,40.0,43280.600895395044,26.79411424441151,secundaria,Medellín,1
209,54.0,37792.74382500498,45.607538091568614,universitario,Barranquilla,1
210,49.0,41301.864560702554,41.87851269436453,posgrado,Bogotá,2
211,50.0,36150.84640227861,54.544156863688926,universitario,Cali,3
212,18.0,50552.69176369342,27.722572144137953,secundaria,Medellín,5
213,36.0,32509.798160641247,62.368261666682216,posgrado,Barranquilla,2
214,19.0,28770.593341080035,52.73373858550525,posgrado,Cali,3
215,61.0,38298.95556680688,39.85661141150517,secundaria,Bogotá,2
216,43.0,,37.61089766561186,posgrado,Barranquilla,5
217,49.0,28945.86211429946,34.27352104905106,posgrado,Medellín,1
218,,41119.52641196158,40.87786111350234,secundaria,Cali,1
219,49.0,25078.590953324,38.528510756728174,posgrado,Medellín,3
220,21.0,65732.9715292111,44.11036330864489,universitario,Bogotá,4
221,28.0,,37.64506671185355,universitario,Cali,3
222,34.0,37244.406008391015,51.3197095319733,secundaria,Bogotá,4
223,55.0,40157.34051783707,41.00036824933157,secundaria,Bogotá,2
224,41.0,65216.21957526746,37.945463776594146,posgrado,Barranquilla,2
225,22.0,24236.216274909864,48.19429265423512,,Medellín,5
226,51.0,46704.60110301082,27.019810958417985,universitario,Cali,4
227,23.0,57445.9015793355,42.72790681821707,universitario,Bogotá,5
228,,41283.08275820874,40.20457069127547,universitario,Bogotá,1
229,28.0,30962.195613947886,28.713195756753738,universitario,Cali,4
230,33.0,43704.1804277633,26.33197376345194,universitario,Bogotá,3
231,50.0,63325.215118709726,48.08276002353262,secundaria,Barranquilla,1
232,26.0,37610.569862787466,47.70232552280555,posgrado,Barranquilla,1
233,23.0,62234.20161693319,41.38046743707487,universitario,Barranquilla,3
234,33.0,48104.00294412261,53.73326221163779,posgrado,Barranquilla,1
235,46.0,59790.17054083501,43.52774545489015,secundaria,Bogotá,4
236,,47624.19710731369,49.99844255528972,secundaria,Cali,5
237,37.0,39187.49169636836,43.362596697476164,secundaria,Cali,1
238,53.0,64666.31983648744,37.79352347518407,universitario,Cali,4
239,36.0,47702.82423366724,31.53974998853326,posgrado,Cali,2
240,43.0,46997.154429637936,35.1725099607779,secundaria,Medellín,4
241,20.0,54690.66757926515,37.94302183002225,posgrado,Cali,5
242,36.0,56089.82859702642,50.90522481685364,universitario,Medellín,4
243,37.0,54754.277570857186,46.159356468237306,posgrado,Medellín,3
244,49.0,28791.336564701924,42.64255254594093,secundaria,Barranquilla,5
245,24.0,37353.17361508947,46.9600792605126,posgrado,Medellín,2
246,58.0,37121.65258237419,44.21906972553986,posgrado,Bogotá,3
247,50.0,35651.037249025496,42.09550088885461,secundaria,Medellín,4
248,57.0,34534.75481515729,28.010724787944362,secundaria,Barranquilla,5
249,56.0,36947.71306619165,49.11326058289342,posgrado,Medellín,2
250,35.0,49031.38491424993,36.33190521978819,,Bogotá,3
251,57.0,50932.91144699795,48.70832222098036,secundaria,Bogotá,2
252,18.0,44980.368400270825,49.48168233208712,universitario,Bogotá,4
253,28.0,39887.61193722696,34.639686451557225,posgrado,Barranquilla,2
254,45.0,60305.55898384344,47.5977286447675,posgrado,Barranquilla,1
255,42.0,43901.20727220195,37.11210016595281,,Cali,3
256,40.0,56244.87024378214,37.159741378826205,posgrado,Barranquilla,2
257,48.0,38168.08643341467,42.059785876661266,universitario,Bogotá,4
258,47.0,49964.55359942489,42.275780713356326,universitario,Bogotá,4
259,59.0,61105.06205167098,40.308412122807134,universitario,Barranquilla,2
260,52.0,13694.543883787494,29.32569587555235,universitario,Medellín,4
261,24.0,37138.97659411106,39.02842688412528,universitario,Barranquilla,5
262,33.0,52124.90611009454,58.22782982550725,secundaria,Barranquilla,5
263,43.0,59553.78088419222,17.727966169583823,posgrado,Bogotá,5
264,19.0,47437.36257535808,46.957923521827304,universitario,Cali,1
265,18.0,45594.872751592855,48.45699946685047,universitario,Bogotá,2
266,29.0,64326.9415586796,29.133218245710786,universitario,Cali,1
267,22.0,60287.92068706582,36.24448869272363,universitario,Bogotá,4
268,54.0,34577.016755427605,31.994262736453244,secundaria,Barranquilla,1
269,49.0,46396.93176144909,54.83172301849503,secundaria,Bogotá,4
270,26.0,49322.02802562618,48.82420213422226,secundaria,Bogotá,4
271,58.0,65623.19248816423,49.21140299571786,secundaria,Bogotá,3
272,52.0,55392.84619251358,40.96517780795836,universitario,Barranquilla,5
273,36.0,43757.086801180514,50.496735597997144,universitario,Barranquilla,4
274,33.0,47640.89194564345,39.93410746350337,secundaria,Barranquilla,3
275,20.0,22393.398129193276,50.87326101768446,posgrado,Barranquilla,5
276,37.0,56623.54181552814,38.81042860710224,secundaria,Cali,4
277,41.0,52748.79346467897,34.56606466629248,posgrado,Cali,4
278,50.0,59545.87719870122,54.487602130655546,,Medellín,1
279,41.0,43271.40842070576,39.83320991467891,secundaria,Barranquilla,1
280,28.0,46536.492822701526,32.80960073406029,universitario,Cali,5
281,25.0,39223.9398086433,32.72292882008022,secundaria,Bogotá,4
282,53.0,31223.341126131105,32.74737061584767,universitario,Barranquilla,2
283,55.0,,46.75553880823495,universitario,Medellín,1
284,57.0,23168.39460564085,39.209096983638275,secundaria,Medellín,5
285,37.0,55975.26618712901,58.38367180797666,universitario,Medellín,4
286,52.0,18901.409968162836,49.48942545859296,secundaria,Bogotá,4
287,42.0,69385.71031151063,42.05710504075177,secundaria,Cali,2
288,52.0,23830.477208399014,51.231180329586266,universitario,Bogotá,5
289,42.0,62998.66410810237,36.03594130824413,universitario,Barranquilla,4
290,46.0,34103.35147715475,25.161713566725552,universitario,Medellín,1
291,35.0,51732.396809652724,32.08333553940208,universitario,Bogotá,2
292,63.0,35970.63959607758,41.177662634956825,,Bogotá,5
293,35.0,65084.977912696595,38.21966822263088,secundaria,Cali,2
294,19.0,45524.432017011284,,universitario,Cali,1
295,52.0,57884.184145185034,39.00308974925225,universitario,Medellín,5
296,33.0,45912.57647875662,45.9842778076938,universitario,Bogotá,2
297,58.0,49235.519706466825,52.007773044514316,,Bogotá,3
298,53.0,52393.27984823699,38.97843319511383,universitario,Cali,1
299,50.0,38655.31217400355,44.44116230968897,universitario,Bogotá,1
300,52.0,57884.184145185034,39.00308974925225,universitario,Medellín,5
301,31.0,59416.56533061229,39.66953255535382,universitario,Cali,5
302,53.0,46690.888416855865,47.26297557793942,universitario,Medellín,5
303,47.0,49964.55359942489,42.275780713356326,universitario,Bogotá,4
304,49.0,28791.336564701924,42.64255254594093,secundaria,Barranquilla,5
305,21.0,43185.16841409325,54.26490268300046,universitario,Barranquilla,5
306,55.0,40157.34051783707,41.00036824933157,secundaria,Bogotá,2
307,59.0,15520.882250719267,40.21811763855103,posgrado,Bogotá,5
308,35.0,65084.977912696595,38.21966822263088,secundaria,Cali,2
309,36.0,32509.798160641247,62.368261666682216,posgrado,Barranquilla,2
310,25.0,55223.333610776215,48.31060916089543,posgrado,Bogotá,2
311,49.0,41301.864560702554,41.87851269436453,posgrado,Bogotá,2
312,,62739.02537786956,38.31986641299925,secundaria,Medellín,5
313,50.0,23600.987254013715,46.934792506737146,universitario,Barranquilla,2
314,56.0,31260.61775914318,45.663394935757395,secundaria,Bogotá,4
